question,answer
What products do you offer?,"We offer a wide range of electronics, home appliances, accessories, and gadgets."
What items do you sell?,"We offer a wide range of electronics, home appliances, accessories, and gadgets."
What kind of products are available?,"We offer a wide range of electronics, home appliances, accessories, and gadgets."
What can I buy from your store?,"We offer a wide range of electronics, home appliances, accessories, and gadgets."
Do you sell electronics and home items?,"We offer a wide range of electronics, home appliances, accessories, and gadgets."
Do you sell mobile phones?,"Yes, we have the latest smartphones from top brands like Samsung, Apple, and Xiaomi."
Are mobile phones available?,"Yes, we have the latest smartphones from top brands like Samsung, Apple, and Xiaomi."
Do you offer smartphones?,"Yes, we have the latest smartphones from top brands like Samsung, Apple, and Xiaomi."
Can I buy a mobile phone here?,"Yes, we have the latest smartphones from top brands like Samsung, Apple, and Xiaomi."
Do you have the latest smartphone models?,"Yes, we have the latest smartphones from top brands like Samsung, Apple, and Xiaomi."
How can I check product availability?,You can check availability directly on each product page under the 'In Stock' label.
How do I know if a product is in stock?,You can check availability directly on each product page under the 'In Stock' label.
Can I check if an item is available?,You can check availability directly on each product page under the 'In Stock' label.
Where can I see stock status?,You can check availability directly on each product page under the 'In Stock' label.
Does your site show product availability?,You can check availability directly on each product page under the 'In Stock' label.
Are your products original?,"Yes, all products are 100% genuine and sourced from verified suppliers."
Are all items genuine?,"Yes, all products are 100% genuine and sourced from verified suppliers."
Do you sell official products?,"Yes, all products are 100% genuine and sourced from verified suppliers."
Is everything you sell authentic?,"Yes, all products are 100% genuine and sourced from verified suppliers."
Are your products guaranteed original?,"Yes, all products are 100% genuine and sourced from verified suppliers."
Do you offer free shipping?,Free shipping is available for orders above PKR 5000.
Is delivery free?,Free shipping is available for orders above PKR 5000.
Do I have to pay shipping charges?,Free shipping is available for orders above PKR 5000.
What are your delivery fees?,Free shipping is available for orders above PKR 5000.
Is shipping cost-free?,Free shipping is available for orders above PKR 5000.
How long does delivery take?,Orders are usually delivered within 3–5 business days.
What are your delivery charges?,Delivery charges depend on your location and order value.
Do you offer cash on delivery?,"Yes, cash on delivery is available for most cities in Pakistan."
Can I cancel an order after placing it?,"Yes, you can cancel before the order is dispatched by contacting us at support@example.com."
How can I return a product?,"Go to your orders, select the item, and click on the 'Return' option or contact support@example.com."
What is your return policy?,"You can return items within 7 days of delivery if they are unused and undamaged. For help, email support@example.com."
Do you have a warranty?,"Yes, most electronics come with a 6 to 12-month warranty. For warranty claims, contact support@example.com."
How can I get warranty?,Contact our support team with your order ID and product serial number at support@example.com.
How can I contact customer support?,You can contact us through live chat or email us at support@example.com.
Do you have physical stores?,"Currently, we operate online only."
Can I track my order?,"Yes, once shipped, you’ll receive a tracking number via email or SMS."
What payment methods do you accept?,"We accept debit/credit cards, Easypaisa, JazzCash, and COD."
Do you have student discounts?,"Yes, students can enjoy up to 10% discount by verifying their ID."
How can I apply a coupon code?,You can enter your coupon code at checkout to get an instant discount.
Are prices negotiable?,"No, all prices are fixed and displayed on the website."
Do you provide installation services?,"Yes, installation is available for large appliances like TVs and ACs. For details, email support@example.com."
How can I reset my account password?,Click on 'Forgot Password' on the login page to reset your password.
Can I change my delivery address after placing an order?,"Yes, you can update it before the order is dispatched. Contact support@example.com if needed."
What if I receive a damaged product?,Contact support@example.com immediately; we’ll arrange a replacement or refund.
Do you provide invoices?,"Yes, invoices are automatically generated and emailed to you."
Can I buy in bulk?,"Yes, we offer bulk purchase options for businesses. Please contact sales@example.com."
Do you offer seasonal sales?,"Yes, we host sales during Eid, 11.11, and New Year seasons."
Are there any hidden charges?,"No, all costs are shown upfront before you confirm payment."
Do you sell refurbished products?,"Yes, we sell certified refurbished devices with warranty."
How can I subscribe to your newsletter?,Scroll to the bottom of our website and enter your email.
Do you have an app?,"Yes, our Android and iOS apps are available on respective stores."
Can I return a product bought during sale?,"Yes, as long as it meets our return policy conditions. For help, contact support@example.com."
Do you deliver outside Pakistan?,"Not currently, we only deliver within Pakistan."
